BW02 flap 00 (0.65,-0.10)
    1.000030      0.6030000E-03
   0.9914707      0.1460684E-02
   0.9796034      0.2602301E-02
   0.9650333      0.3997940E-02
   0.9473417      0.5717506E-02
   0.9265269      0.7793278E-02
   0.9031517      0.1017968E-01
   0.8781004      0.1278183E-01
   0.8522803      0.1548261E-01
   0.8265443      0.1815689E-01
   0.8016470      0.2067603E-01
   0.7781190      0.2315883E-01
   0.7556737      0.2611425E-01
   0.7337816      0.2960231E-01
   0.7122144      0.3364531E-01
   0.6908330      0.3826537E-01
   0.6695134      0.4349353E-01
   0.6480773      0.4937842E-01
   0.6263488      0.5526045E-01
   0.6041829      0.6070077E-01
   0.5815545      0.6577104E-01
   0.5585439      0.7049067E-01
   0.5352297      0.7485463E-01
   0.5116681      0.7886338E-01
   0.4879095      0.8252044E-01
   0.4640120      0.8582805E-01
   0.4400356      0.8877992E-01
   0.4160256      0.9136923E-01
   0.3920267      0.9359074E-01
   0.3680994      0.9543950E-01
   0.3443442      0.9690461E-01
   0.3208098      0.9794557E-01
   0.2975665      0.9856015E-01
   0.2746889      0.9871848E-01
   0.2522468      0.9839890E-01
   0.2303202      0.9758263E-01
   0.2090024      0.9625484E-01
   0.1884007      0.9440752E-01
   0.1686375      0.9204340E-01
   0.1498488      0.8918075E-01
   0.1321774      0.8585725E-01
   0.1157595      0.8213142E-01
   0.1007048      0.7808064E-01
   0.8707783E-01  0.7379398E-01
   0.7488645E-01  0.6936146E-01
   0.6408242E-01  0.6486424E-01
   0.5457414E-01  0.6036820E-01
   0.4624440E-01  0.5592085E-01
   0.3896751E-01  0.5155100E-01
   0.3262273E-01  0.4726881E-01
   0.2709660E-01  0.4307961E-01
   0.2228612E-01  0.3899195E-01
   0.1810343E-01  0.3501192E-01
   0.1447559E-01  0.3114136E-01
   0.1134369E-01  0.2737774E-01
   0.8660656E-02  0.2371609E-01
   0.6387513E-02  0.2015215E-01
   0.4490951E-02  0.1668380E-01
   0.2944707E-02  0.1330987E-01
   0.1731715E-02  0.1002909E-01
   0.8429481E-03  0.6841676E-02
   0.2748452E-03  0.3751312E-02
   0.2024415E-04  0.7679676E-03
   0.9067153E-04 -0.2144013E-02
   0.5350533E-03 -0.5076928E-02
   0.1456325E-02 -0.7974440E-02
   0.2996375E-02 -0.1070600E-01
   0.5249958E-02 -0.1308021E-01
   0.8097448E-02 -0.1507289E-01
   0.1138988E-01 -0.1683319E-01
   0.1509777E-01 -0.1846374E-01
   0.1924738E-01 -0.2003077E-01
   0.2390419E-01 -0.2156898E-01
   0.2916138E-01 -0.2311185E-01
   0.3514855E-01 -0.2468752E-01
   0.4204122E-01 -0.2632449E-01
   0.5007038E-01 -0.2805570E-01
   0.5954063E-01 -0.2991388E-01
   0.7082692E-01 -0.3193739E-01
   0.8433891E-01 -0.3415165E-01
   0.1004083     -0.3656390E-01
   0.1190938     -0.3913586E-01
   0.1400545     -0.4176805E-01
   0.1626779     -0.4434031E-01
   0.1863488     -0.4675123E-01
   0.2106067     -0.4893688E-01
   0.2351595     -0.5085991E-01
   0.2598423     -0.5249628E-01
   0.2845584     -0.5383399E-01
   0.3092742     -0.5485423E-01
   0.3339941     -0.5557412E-01
   0.3585898     -0.5598291E-01
   0.3830443     -0.5605715E-01
   0.4073135     -0.5579376E-01
   0.4313216     -0.5518311E-01
   0.4549834     -0.5419731E-01
   0.4783040     -0.5277350E-01
   0.5014969     -0.5080983E-01
   0.5252166     -0.4814018E-01
   0.5500942     -0.4504052E-01
   0.5757813     -0.4168966E-01
   0.6020164     -0.3815377E-01
   0.6286200     -0.3449777E-01
   0.6553906     -0.3079563E-01
   0.6820767     -0.2713073E-01
   0.7085387     -0.2356956E-01
   0.7347422     -0.2016141E-01
   0.7606951     -0.1692263E-01
   0.7862313     -0.1389155E-01
   0.8113290     -0.1116389E-01
   0.8361300     -0.8759729E-02
   0.8605572     -0.6680718E-02
   0.8844672     -0.4942608E-02
   0.9075165     -0.3549296E-02
   0.9291222     -0.2492266E-02
   0.9486093     -0.1746413E-02
   0.9654740     -0.1260895E-02
   0.9796364     -0.9656444E-03
   0.9913802     -0.7998464E-03
   0.9999520     -0.7250000E-03
